2026-05-27 13:11:49 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/login | payload=admin' OR '1'='1' --
2026-05-27 13:11:49 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,NULL,NULL FROM users --
2026-05-27 13:11:49 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:11:49 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:11:49 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:11:49 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:11:49 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:11:49 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:11:49 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/admin/messages/delete | payload=nonexistent; echo pwned > E:\学校文件\大三下\计算机与网络安全\allweb-defense\cmd_injection_marker.txt
2026-05-27 13:11:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,NULL,NULL FROM users --
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:16 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:12:16 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:17 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:17 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:12:17 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:17 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:12:17 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:12:17 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/messages | payload=/admin/messages
2026-05-27 13:12:17 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/admin/messages/delete | payload=
2026-05-27 13:12:17 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,NULL,NULL FROM users --
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:49 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:13:49 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:50 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:50 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:13:50 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:50 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:13:50 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:13:50 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/messages | payload=/admin/messages
2026-05-27 13:13:50 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/admin/messages/delete | payload=
2026-05-27 13:13:50 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,NULL,NULL FROM users --
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:15:15 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/messages | payload=/admin/messages
2026-05-27 13:15:15 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/admin/messages/delete | payload=
2026-05-27 13:15:15 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:18:52 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/login | payload=admin' OR '1'='1' --
2026-05-27 13:18:52 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,avatar FROM users --
2026-05-27 13:18:52 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:18:52 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:18:52 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:18:52 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:18:52 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:18:52 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:18:52 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/admin/messages/delete | payload=nonexistent; echo pwned > E:\学校文件\大三下\计算机与网络安全\allweb-defense\cmd_injection_marker.txt
2026-05-27 13:18:53 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:19:00 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:20:18 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:20:28 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:21:30 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/login | payload=admin' OR '1'='1' --
2026-05-27 13:21:30 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,avatar FROM users --
2026-05-27 13:21:30 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:21:30 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:21:30 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:21:30 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:21:30 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:21:30 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:21:30 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/admin/messages/delete | payload=nonexistent; echo pwned > E:\学校文件\大三下\计算机与网络安全\allweb-defense\cmd_injection_marker.txt
2026-05-27 13:21:31 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:21:47 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:21:58 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=sql-injection | ip=127.0.0.1 | path=/search | payload=' UNION SELECT id,username,password,role,email,avatar FROM users --
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/messages | payload=<script>alert("xss")</script>
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=cmd-injection | ip=127.0.0.1 | path=/search | payload=<script>alert("rxss")</script>
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/profile/password | payload=
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=path-traversal | ip=127.0.0.1 | path=/download | payload=../../init_db.py
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/users | payload=/admin/users
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=unsafe-upload | ip=127.0.0.1 | path=/profile/avatar | payload=shell.py
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
2026-05-27 13:24:57 | BLOCKED | type=vertical-privilege-escalation | ip=127.0.0.1 | path=/admin/messages | payload=/admin/messages
2026-05-27 13:24:57 | BLOCKED | type=csrf | ip=127.0.0.1 | path=/admin/messages/delete | payload=
2026-05-27 13:24:57 | BLOCKED | type=brute-force | ip=127.0.0.1 | path=/login | payload=ip=127.0.0.1
